證券代碼,簡稱,年月日,報酬率％
2498   ,宏達電       ,20220531,     3.8422
2882   ,國泰金       ,20220531,     3.1481
1102   ,亞泥         ,20220601,     0.9009
2498   ,宏達電       ,20220601,    -0.9000
2882   ,國泰金       ,20220601,    -1.7953
1102   ,亞泥         ,20220602,    -0.8929
2498   ,宏達電       ,20220602,    -0.6054
2882   ,國泰金       ,20220602,    -0.3656
1102   ,亞泥         ,20220606,    -0.1126
2498   ,宏達電       ,20220606,    -0.5076
2882   ,國泰金       ,20220606,     0.5505
1102   ,亞泥         ,20220607,    -0.3382
2498   ,宏達電       ,20220607,    -1.7347
2882   ,國泰金       ,20220607,     0.0000
1102   ,亞泥         ,20220608,     1.3575
2498   ,宏達電       ,20220608,    -0.2077
2882   ,國泰金       ,20220608,     0.0000
1102   ,亞泥         ,20220609,    -0.3348
2498   ,宏達電       ,20220609,     0.3122
2882   ,國泰金       ,20220609,     0.0000
1102   ,亞泥         ,20220610,    -1.1198
2498   ,宏達電       ,20220610,    -1.6598
2882   ,國泰金       ,20220610,     0.0000
1102   ,亞泥         ,20220613,    -1.0193
2498   ,宏達電       ,20220613,    -3.7975
2882   ,國泰金       ,20220613,    -1.8248
1102   ,亞泥         ,20220614,    -0.1144
2498   ,宏達電       ,20220614,     1.8640
2882   ,國泰金       ,20220614,    -0.7435
1102   ,亞泥         ,20220615,    -0.8018
2498   ,宏達電       ,20220615,    -1.5070
2882   ,國泰金       ,20220615,     0.3745
1102   ,亞泥         ,20220616,    -0.4619
2498   ,宏達電       ,20220616,    -1.5301
2882   ,國泰金       ,20220616,     0.1866
1102   ,亞泥         ,20220617,     0.8121
2498   ,宏達電       ,20220617,    -2.3307
2882   ,國泰金       ,20220617,    -1.3035
1102   ,亞泥         ,20220620,    -2.4166
2498   ,宏達電       ,20220620,    -4.3182
2882   ,國泰金       ,20220620,    -2.2642
1102   ,亞泥         ,20220621,     1.5330
2498   ,宏達電       ,20220621,     9.9762
2882   ,國泰金       ,20220621,     4.6332
1102   ,亞泥         ,20220622,     1.2776
2498   ,宏達電       ,20220622,     7.3434
2882   ,國泰金       ,20220622,    -2.2140
1102   ,亞泥         ,20220623,    -1.4908
2498   ,宏達電       ,20220623,    -3.6217
2882   ,國泰金       ,20220623,     0.0000
1102   ,亞泥         ,20220624,     1.5134
2498   ,宏達電       ,20220624,     9.8121
2882   ,國泰金       ,20220624,     0.7547
1102   ,亞泥         ,20220627,     0.9174
2498   ,宏達電       ,20220627,     9.8859
2882   ,國泰金       ,20220627,     0.1873
1102   ,亞泥         ,20220628,    -0.7955
2498   ,宏達電       ,20220628,    -0.1730
2882   ,國泰金       ,20220628,     0.5607
1102   ,亞泥         ,20220629,     0.1145
2498   ,宏達電       ,20220629,    -9.8787
2882   ,國泰金       ,20220629,    -1.8587
1102   ,亞泥         ,20220630,     0.2288
2498   ,宏達電       ,20220630,    -5.9615
2882   ,國泰金       ,20220630,    -3.5985
1102   ,亞泥         ,20220701,     0.9132
2498   ,宏達電       ,20220701,     2.6585
2882   ,國泰金       ,20220701,    -2.3576
1102   ,亞泥         ,20220704,    -0.6787
2498   ,宏達電       ,20220704,     9.9602
2882   ,國泰金       ,20220704,    -1.4085
1102   ,亞泥         ,20220705,     0.9112
2498   ,宏達電       ,20220705,     9.9638
2882   ,國泰金       ,20220705,     2.7473
1102   ,亞泥         ,20220706,    -0.4515
2498   ,宏達電       ,20220706,    -6.2603
2882   ,國泰金       ,20220706,    -3.8503
1102   ,亞泥         ,20220707,    -0.5669
2498   ,宏達電       ,20220707,     8.4359
2882   ,國泰金       ,20220707,     0.2225
1102   ,亞泥         ,20220708,     0.0000
2498   ,宏達電       ,20220708,    -1.9449
2882   ,國泰金       ,20220708,    -0.5549
1102   ,亞泥         ,20220711,     0.4561
2498   ,宏達電       ,20220711,     0.6612
2882   ,國泰金       ,20220711,     0.5580
1102   ,亞泥         ,20220712,    -0.7946
2498   ,宏達電       ,20220712,    -5.4187
2882   ,國泰金       ,20220712,    -2.7747
1102   ,亞泥         ,20220713,     1.1442
2498   ,宏達電       ,20220713,     1.3889
2882   ,國泰金       ,20220713,     3.8813
1102   ,亞泥         ,20220714,    -0.1131
2498   ,宏達電       ,20220714,     3.9384
2882   ,國泰金       ,20220714,    -1.0989
1102   ,亞泥         ,20220715,    -2.6048
2498   ,宏達電       ,20220715,    -2.9654
2882   ,國泰金       ,20220715,    -1.8889
1102   ,亞泥         ,20220718,     2.2093
2498   ,宏達電       ,20220718,     0.3396
2882   ,國泰金       ,20220718,     2.3783
1102   ,亞泥         ,20220719,     0.3413
2498   ,宏達電       ,20220719,    -1.6920
2882   ,國泰金       ,20220719,    -0.5531
1102   ,亞泥         ,20220720,    -0.1134
2498   ,宏達電       ,20220720,     2.7539
2882   ,國泰金       ,20220720,    -0.1112
1102   ,亞泥         ,20220721,     1.0216
2498   ,宏達電       ,20220721,     9.8827
2882   ,國泰金       ,20220721,     0.3341
1102   ,亞泥         ,20220722,     0.7865
2498   ,宏達電       ,20220722,    -1.3720
2882   ,國泰金       ,20220722,    -0.1110
1102   ,亞泥         ,20220725,     0.1115
2498   ,宏達電       ,20220725,     2.9366
2882   ,國泰金       ,20220725,     1.2222
1102   ,亞泥         ,20220726,    -0.5568
2498   ,宏達電       ,20220726,    -3.6036
2882   ,國泰金       ,20220726,     0.1098
1102   ,亞泥         ,20220727,    -0.4479
2498   ,宏達電       ,20220727,     0.7788
2882   ,國泰金       ,20220727,    -0.7675
1102   ,亞泥         ,20220728,    -1.2381
2498   ,宏達電       ,20220728,     1.0819
2882   ,國泰金       ,20220728,     1.2155
1102   ,亞泥         ,20220729,     2.3457
2498   ,宏達電       ,20220729,    -0.4587
2882   ,國泰金       ,20220729,    -0.6550
1102   ,亞泥         ,20220801,    -0.2413
2498   ,宏達電       ,20220801,     1.0753
2882   ,國泰金       ,20220801,    -0.1099
1102   ,亞泥         ,20220802,     0.1209
2498   ,宏達電       ,20220802,    -2.2796
2882   ,國泰金       ,20220802,    -1.3201
1102   ,亞泥         ,20220803,     0.1208
2498   ,宏達電       ,20220803,    -1.5552
2882   ,國泰金       ,20220803,     0.2230
1102   ,亞泥         ,20220804,    -1.8094
2498   ,宏達電       ,20220804,    -7.8989
2882   ,國泰金       ,20220804,    -0.2225
1102   ,亞泥         ,20220805,     0.6143
2498   ,宏達電       ,20220805,     6.3465
2882   ,國泰金       ,20220805,     2.0067
1102   ,亞泥         ,20220808,    -0.1221
2498   ,宏達電       ,20220808,    -2.5806
